model,stratum,target,n_hitters,pa,scoring_pa,pa_weighted_rmse,noise_floor,model_rmse,rank_corr,rank_corr_weighted,stratum_basis,skill_vs_no_info
model_v1,low,woba,161,22967.0,22824.0,0.046227471695188226,0.039587653395598735,0.023870417632696928,0.010099491966536062,0.2631449563011508,pooled_prior_pa,0.23739478916591394
model_v1,medium,woba,108,26627.0,26468.0,0.033649712150472015,0.03091077397903736,0.013297638129626279,0.2588146750883611,0.32680751647303274,pooled_prior_pa,0.25662893532909237
model_v1,high,woba,348,132673.0,131914.0,0.036048193078190446,0.025753048657177292,0.025224050211327214,0.47974522684736576,0.4948385250396942,pooled_prior_pa,0.2376776575099785
model_v1,all,woba,617,182267.0,181206.0,0.037155667611770186,0.028631587585670804,0.02368070581719239,0.43446798309633206,0.47879187078331564,pooled_prior_pa,0.23994403502194805
trailing_raw,low,woba,161,22967.0,22824.0,0.08357683855562004,0.039587653395598735,0.07360642391518633,0.03451839289845142,-0.0323603369688266,pooled_prior_pa,-1.4927077505778623
trailing_raw,medium,woba,108,26627.0,26468.0,0.05655774535921398,0.03091077397903736,0.0473635156226241,0.1041946516524241,-0.01964503433805111,pooled_prior_pa,-1.100037848063736
trailing_raw,high,woba,348,132673.0,131914.0,0.03628671923081348,0.025753048657177292,0.025563772753585255,0.46530838525313445,0.5138639123404178,pooled_prior_pa,0.2275559074273531
trailing_raw,all,woba,617,182267.0,181206.0,0.048016603844649244,0.028631587585670804,0.038546419251313684,0.3143544698505483,0.39584053332481733,pooled_prior_pa,-0.2693410141295658
trailing_bucketed,low,woba,161,22967.0,22824.0,0.05476015183342663,0.039587653395598735,0.037835062144126026,-0.10934772497640537,-0.12493652296209938,pooled_prior_pa,-0.07011086369778763
trailing_bucketed,medium,woba,108,26627.0,26468.0,0.04506373132220338,0.03091077397903736,0.03279121731038054,0.11183514818943095,0.03478874240893838,pooled_prior_pa,-0.33320594997453346
trailing_bucketed,high,woba,348,132673.0,131914.0,0.03608212194675269,0.025753048657177292,0.025272514893484407,0.4622639548494912,0.5199401897084165,pooled_prior_pa,0.23624197353218235
trailing_bucketed,all,woba,617,182267.0,181206.0,0.04027520143417194,0.028631587585670804,0.028325325115295445,0.3099442444871362,0.41933371163087413,pooled_prior_pa,0.10696007362434123
no_info_league_average,low,woba,161,22967.0,22824.0,0.05293589462538275,0.039587653395598735,0.035142945784603294,-0.14334331519088664,-0.12259900471995672,pooled_prior_pa,0.0
no_info_league_average,medium,woba,108,26627.0,26468.0,0.039028200487599855,0.03091077397903736,0.023826969704877632,-0.09189554812464869,-0.09117483879642399,pooled_prior_pa,0.0
no_info_league_average,high,woba,348,132673.0,131914.0,0.04128708071319508,0.025753048657177292,0.0322707842898022,-0.005458164100419812,0.001931472506884917,pooled_prior_pa,0.0
no_info_league_average,all,woba,617,182267.0,181206.0,0.0426189046037137,0.028631587585670804,0.03156902313890169,-0.1795191328302734,-0.10000967816082325,pooled_prior_pa,0.0
